model,trial,baseline,flick_start,flick_start_deg,flick_end,flick_duration,theta_srt,theta_end,dtheta_flick,degtheta_flick,angular_v,slope_speed,r2_speed,theta_body_srt,theta_body_end,dtheta_body,degtheta_body,theta_body_flick_srt,theta_body_flick_end,dtheta_body_flick,theta_body_flick_max,theta_body_flick_min,maxmin_dtheta_body_flick
anampses_new,1,173.034,8,171.0147146,23,0.06,2.984769839,2.153917558,-0.830852281,-47.60432908,-13.84753801,-14.75806344,0.991288552,3.109061508,2.798927079,-0.310134429,-17.76939387,178.2472546,179.7307242,1.483469548,179.9370828,178.2472546,1.689828199
anampses_new,2,168.718,6,167.3277505,21,0.06,2.920420175,2.131604337,-0.788815839,-45.19581836,-13.14693064,-13.49193662,0.970808963,3.106063315,2.872365267,-0.233698048,-13.38991181,178.0410642,179.8500779,1.809013679,179.8500779,178.0410642,1.809013679
anampses_new,3,169.349,9,167.3475037,24,0.06,2.920764935,2.108789412,-0.811975523,-46.52277055,-13.53292539,-14.40205132,0.993921931,3.109629404,2.822254192,-0.287375212,-16.46538676,178.2515751,179.9915748,1.73999963,179.9915748,178.2515751,1.73999963
anampses_new,4,171.115,6,169.284658,23,0.068,2.954574656,2.142685872,-0.811888784,-46.51780075,-11.93954094,-13.18384701,0.990411583,3.115566535,2.795784864,-0.319781671,-18.32214013,178.5750093,179.5735211,0.998511781,179.9456553,178.5750093,1.370645986
anampses_new,5,173.399,10,172.0819669,26,0.064,3.003396905,2.120798703,-0.882598202,-50.569152,-13.79059691,-12.74309047,0.935275724,3.14072808,2.590324454,-0.550403626,-31.5358048,179.9462288,178.1440088,-1.802219979,179.9462288,178.1440088,1.802219979
anampses_new,6,171.162,11,168.8709992,25,0.056,2.947354946,2.109325088,-0.838029858,-48.01557396,-14.96481889,-15.56938889,0.969764333,3.125878753,2.652623596,-0.473255157,-27.11552311,179.1214046,177.2101487,-1.911255864,179.1214046,177.2101487,1.911255864
auriga_new,1,177.935,4,175.8507241,18,0.056,3.069174127,2.219256906,-0.849917221,-48.69666969,-15.17709323,-16.05988225,0.96164357,3.112881045,2.583154219,-0.529726825,-30.35111139,178.1920616,175.7168967,-2.475164957,178.1920616,175.7168967,2.475164957
auriga_new,2,175.634,5,173.9580459,19,0.056,3.036140661,2.219128212,-0.817012449,-46.81136513,-14.58950801,-15.99993529,0.967168781,3.125389505,2.571628936,-0.553760569,-31.72814349,179.1136792,176.7432655,-2.37041374,179.1136792,176.7432655,2.37041374
auriga_new,3,175.885,5,173.7164451,18,0.052,3.031923932,2.214225507,-0.817698425,-46.85066869,-15.72496972,-16.42573644,0.967727247,3.136477674,2.751994685,-0.384482989,-22.02925259,179.7543253,177.859545,-1.8947803,179.97871,177.859545,2.119165055
auriga_new,4,174.823,5,171.4629703,18,0.052,2.992593376,2.179845213,-0.812748163,-46.56703955,-15.62977237,-16.31194567,0.993800265,3.117834957,2.568455375,-0.549379582,-31.47713141,178.5228137,176.3968805,-2.125933225,178.5228137,176.3968805,2.125933225
auriga_new,5,177.733,5,175.9314097,18,0.052,3.070582357,2.256747507,-0.81383485,-46.62930212,-15.65067019,-15.80609846,0.982049166,3.064824614,2.656385597,-0.408439017,-23.40183188,175.4766058,173.2575815,-2.219024355,175.4766058,173.2575815,2.219024355
auriga_new,6,179.885,5,176.8187367,18,0.052,3.086069134,2.228378788,-0.857690346,-49.14203696,-16.49404512,-17.38161877,0.973671307,3.05362429,2.54591572,-0.50770857,-29.0895583,174.8284554,172.4935514,-2.334903999,174.8284554,172.4935514,2.334903999
auriga_new,7,178.298,7,176.7322564,18,0.044,3.084559768,2.298508145,-0.786051623,-45.0374405,-17.86480962,-18.42647458,0.998111565,3.07801567,2.639825982,-0.438189687,-25.1064197,176.1049469,173.8849963,-2.219950666,176.1049469,173.8849963,2.219950666
auriga_new,8,178.975,5,176.6273412,18,0.052,3.082728653,2.261514892,-0.821213761,-47.05208258,-15.79257233,-16.5929627,0.990240109,3.101772359,2.615460287,-0.486312072,-27.86362923,177.6237875,175.20626,-2.417527561,177.6237875,175.20626,2.417527561
auriga_new,9,178.982,5,177.8683051,19,0.056,3.104387558,2.23153346,-0.872854098,-50.01085597,-15.58668033,-16.80303777,0.98804894,3.084899367,2.673016787,-0.41188258,-23.59913349,176.6737639,174.1399208,-2.533843093,176.6737639,174.1399208,2.533843093
auriga_new,10,177.975,5,175.6903569,18,0.052,3.066375192,2.25420789,-0.812167302,-46.53375867,-15.61860196,-16.25639401,0.964078169,3.10302871,2.616867055,-0.486161655,-27.85501098,177.7205857,175.3794928,-2.341092911,177.7205857,175.3794928,2.341092911
calotomus_new,1,169.938,9,168.8432477,22,0.052,2.946870593,2.013097845,-0.933772748,-53.5012375,-17.95716824,-17.72415909,0.961423928,3.135750734,2.897493729,-0.238257006,-13.65112086,179.5810802,177.6034851,-1.977595121,179.5810802,177.6034851,1.977595121
calotomus_new,2,167.477,8,164.6613915,22,0.056,2.873883433,1.95057407,-0.923309363,-52.90172971,-16.4876672,-17.22245421,0.9526367,3.13137335,2.863578002,-0.267795349,-15.34354325,179.4945018,178.5187938,-0.975707921,179.9700457,178.5187938,1.451251885
calotomus_new,3,172.975,7,170.1364287,21,0.056,2.969440858,2.07994027,-0.889500588,-50.96462959,-15.88393908,-16.72684129,0.953718487,3.129997009,2.78124651,-0.348750499,-19.98193172,179.3208333,177.2763074,-2.044525898,179.3208333,177.2763074,2.044525898
calotomus_new,4,173.569,6,172.4244192,20,0.056,3.009373826,2.151776016,-0.85759781,-49.13673504,-15.31424661,-16.52224228,0.97714024,3.087645105,2.783374648,-0.304270457,-17.43341303,176.8853897,175.0402042,-1.845185476,176.8853897,175.0402042,1.845185476
calotomus_new,5,173.147,9,169.7064289,23,0.056,2.961935946,2.042497887,-0.919438059,-52.67992031,-16.41853677,-17.41514383,0.959656905,3.137116791,2.834428612,-0.302688178,-17.34275514,179.8278275,178.1499794,-1.677848014,179.8923766,178.1499794,1.742397185
chaetodon_new,1,170.187,9,168.4797664,20,0.044,2.940526647,2.088079428,-0.852447219,-48.8416279,-19.37380043,-20.650428,0.980799679,3.136755928,2.590942317,-0.54581361,-31.27281628,179.5932143,177.7981597,-1.795054663,179.5932143,177.7981597,1.795054663
chaetodon_new,2,171.885,7,170.7149761,18,0.044,2.979538415,2.060371963,-0.919166451,-52.66435832,-20.89014662,-19.9763509,0.911062459,3.062321995,2.402428879,-0.659893115,-37.80909044,175.4663396,173.5737583,-1.892581294,175.4663396,173.5737583,1.892581294
chaetodon_new,3,169.603,8,168.3905536,19,0.044,2.938969589,2.009776385,-0.929193204,-53.23884894,-21.11802736,-19.13926196,0.892970532,3.113143426,2.522855472,-0.590287955,-33.82100851,178.3808575,176.4679589,-1.912898664,178.3808575,176.4679589,1.912898664
chaetodon_new,4,173.683,9,172.1705771,20,0.044,3.004943445,2.163333356,-0.841610088,-48.22070606,-19.12750201,-20.22727586,0.984191024,3.137925985,2.550288545,-0.58763744,-33.66914518,179.7694871,178.405876,-1.363611049,179.9219905,178.405876,1.516114475
chaetodon_new,5,174.245,7,173.1379503,19,0.048,3.021827293,2.034820656,-0.987006637,-56.55131467,-20.56263828,-19.53321058,0.909667173,3.121678135,2.616539368,-0.505138767,-28.94231944,178.8434516,179.1123442,0.268892613,179.9981933,178.8434516,1.15474168
chelmon_new,1,166.715,9,164.8317517,23,0.056,2.876856779,2.088610806,-0.788245973,-45.16316747,-14.07582095,-14.95337969,0.994328101,3.079792164,2.511833246,-0.567958918,-32.54164896,176.3038955,172.7399547,-3.563940866,176.3038955,172.7399547,3.563940866
chelmon_new,2,167.647,352,166.503273,366,0.056,2.90603033,2.099786104,-0.806244225,-46.19439138,-14.39721831,-14.43264145,0.954030577,3.106670553,2.64292472,-0.463745833,-26.57067902,177.9432831,174.7076886,-3.235594492,177.9432831,174.7076886,3.235594492
chelmon_new,3,163.048,17,161.1634197,31,0.056,2.812832308,1.994158818,-0.81867349,-46.90653577,-14.61916946,-15.77815231,0.993418823,3.093237455,2.435125552,-0.658111904,-37.70703452,177.1456153,173.7261338,-3.419481545,177.1456153,173.7261338,3.419481545
chelmon_new,4,163.623,17,161.9599514,30,0.052,2.826734408,2.023542611,-0.803191797,-46.01950013,-15.4459961,-16.57901547,0.988505735,3.083772272,2.439523684,-0.644248589,-36.91272508,176.5188847,173.2424912,-3.276393587,176.5188847,173.2424912,3.276393587
chelmon_new,5,161.402,36,159.2429274,50,0.056,2.779313394,1.961591527,-0.817721867,-46.8520118,-14.6021762,-15.67606107,0.993991048,3.129763698,2.52712124,-0.602642458,-34.52886941,179.153758,175.5779222,-3.575835818,179.153758,175.5779222,3.575835818
chelmon_new,6,164.804,25,163.276706,39,0.056,2.849716111,1.992511049,-0.857205062,-49.11423224,-15.30723325,-16.33969543,0.990269969,3.072446677,2.33476013,-0.737686547,-42.26632573,175.9996837,172.3296451,-3.670038597,175.9996837,172.3296451,3.670038597
chelmon_new,7,167.894,21,166.5365808,35,0.056,2.906611661,2.0634225,-0.843189161,-48.31118025,-15.0569493,-16.20578029,0.989512004,3.058008388,2.337524434,-0.720483954,-41.28068976,175.2294847,171.6353296,-3.594155075,175.2294847,171.6353296,3.594155075
chelmon_new,8,163.014,16,161.6277113,30,0.056,2.820935725,1.999355074,-0.821580651,-47.07310385,-14.67108306,-15.92925806,0.98983309,3.125176662,2.4879395,-0.637237162,-36.51099992,178.8704615,175.3042148,-3.566246695,178.8704615,175.3042148,3.566246695
